experiment,compiler,round,module,workers,exit,wall_ms,cpu_ms,cycles,peak_working_set_bytes,background_cpu_pct
copy-counts-gui-pinned,baseline,1,gui,6,0,16113.7235,70734.375,,1194668032,17.570068746694872
copy-counts-gui-pinned,candidate,1,gui,6,0,18046.2531,82453.125,,1307484160,7.267716535433071
copy-counts-gui-pinned,candidate,2,gui,6,0,20259.3965,75187.5,,1256734720,8.68087194224434
copy-counts-gui-pinned,baseline,2,gui,6,0,21722.0197,79859.375,,1280847872,11.221521263034028
copy-counts-gui-pinned,baseline,3,gui,6,0,18571.1901,82343.75,,1312714752,5.465470092054077
copy-counts-gui-pinned,candidate,3,gui,6,0,16637.9424,76296.875,,1332457472,8.107761933225174
jit-flat-ab,baseline,1,all,6,0,18428.7983,79234.375,,1615126528,7.39513923660594
jit-flat-ab,candidate,1,all,6,0,23373.886,90062.5,,1563271168,6.521341463414634
jit-flat-ab,candidate,2,all,6,0,30001.7863,124062.5,,1571033088,23.35147928994083
jit-flat-ab,baseline,2,all,6,0,26202.8471,81906.25,,1580253184,7.27878985035784
jit-flat-ab,baseline,3,all,6,0,25605.354,90203.125,,1635422208,7.314976568782408
jit-flat-ab,candidate,3,all,6,0,24158.9231,99781.25,,1621504000,10.919303611339842
jit-flat-serial,baseline,1,gui,1,0,47108.5746,39265.625,,1082707968,9.29264909847434
jit-flat-serial,candidate,1,gui,1,0,48097.4597,42828.125,,1113038848,5.9747359089901755
jit-flat-serial,candidate,2,gui,1,0,41534.9926,40406.25,,1093931008,3.4406101439857726
jit-flat-serial,baseline,2,gui,1,0,55827.9435,52437.5,,1101062144,24.094560360520923
jit-membership-integrated,baseline,1,gui,6,0,18399.6861,71062.5,218821356210,1291763712,8.574623125265065
jit-membership-integrated,candidate,1,gui,6,0,18718.3445,71046.875,214562800307,1293692928,5.412986619157727
jit-membership-integrated,candidate,2,gui,6,0,21441.4922,69328.125,212175567703,1302220800,8.062005233347687
jit-membership-integrated,baseline,2,gui,6,0,18722.3364,74250.0,227134741514,1336459264,4.712260216847373
jit-membership-integrated,baseline,3,gui,6,0,17510.4442,73484.375,223363989034,1314316288,7.747192605505331
jit-membership-integrated,candidate,3,gui,6,0,17129.4334,77328.125,237226228824,1273450496,10.416407706650093
jit-walk-video,baseline,1,video,6,0,14184.85,51593.75,159271941558,741289984,6.80214224936183
jit-walk-video,candidate,1,video,6,0,12231.382,51140.625,157340495693,743174144,4.350095702105446
jit-walk-video,candidate,2,video,6,0,14918.279,55531.25,169259977673,753725440,7.99809795530195
jit-walk-video,baseline,2,video,6,0,13959.1459,51390.625,157647075196,733995008,4.026640907011033
jit-walk-video,baseline,3,video,6,0,13721.9617,51937.5,158355282781,748474368,4.426517737097942
jit-walk-video,candidate,3,video,6,0,12303.9313,55734.375,170579542221,745197568,6.896551724137931
micro-access-all,baseline,1,all,6,0,23967.6631,110093.75,336623192439,1655369728,12.913544412522583
micro-access-all,candidate,1,all,6,0,20604.7985,85796.875,261278487453,1613418496,5.433060015158823
micro-access-all,candidate,2,all,6,0,24646.7196,104906.25,320913539201,1576972288,13.707981680444739
micro-access-all,baseline,2,all,6,0,20377.4625,90421.875,278924616593,1576796160,8.754138351629203
micro-access-all,baseline,3,all,6,0,20717.3998,91468.75,278955255546,1594208256,7.955869252381278
micro-access-all,candidate,3,all,6,0,22992.9392,85500.0,262194800699,1613271040,4.888216403162056
micro-access-core-control,baseline,1,core,6,0,2485.1374,7812.5,24059257979,344666112,16.98973774230331
micro-access-core-control,candidate,1,core,6,0,2593.0849,7718.75,23000084229,329777152,15.966157205240174
micro-access-core-control,candidate,2,core,6,0,2610.8462,7671.875,22882982054,335142912,17.76937618147448
micro-access-core-control,baseline,2,core,6,0,2318.1706,7484.375,23481939506,345894912,14.111922141119221
micro-access-core-control,baseline,3,core,6,0,2330.4724,7578.125,23884099633,351109120,14.398064125831821
micro-access-core-control,candidate,3,core,6,0,2460.4484,7656.25,23186031519,336072704,16.011477761836442
micro-access-core-control,candidate,4,core,6,0,2516.9047,7328.125,22931410639,342822912,15.924993003078646
micro-access-core-control,baseline,4,core,6,0,2547.797,7937.5,24054667510,337092608,16.6527661940506
micro-access-core-control,baseline,5,core,6,0,2486.2035,7656.25,23403906076,338907136,15.770101925254814
